year,game_code,a_team_code,b_team_code,a_result,b_result,a_points,b_points,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,half_leader,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened,a_team_name,a_name_conference,team_name,name_conference
2012,5033120121103,5,331,0,1,21,14,17,15,105,105,92,92,178,178,71,71,23,11,6,2,4,2,30,10,7,7,ATEAM     ,B,1,11/3/2012,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969,Akron                                             ,Mid-American Conference                                                    ,Kent State                                        ,Mid-American Conference                                                    
2013,5040020131116,400,5,0,1,6,7,21,15,37,37,25,25,104,104,101,101,20,19,7,9,1,2,5,10,-1,1,BTEAM     ,A,0,11/16/2013,163,Gillette Stadium                                                           ,TEAM           ,Foxborough                                                                 ,MA,68756,FieldTurf                ,0,2002,Massachusetts                                     ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2013,5041420131019,5,414,1,0,7,7,16,18,31,31,61,61,41,41,47,47,22,12,4,4,0,2,0,15,0,0,TIED      ,B,1,10/19/2013,101,Fred C. Yager Stadium                                                      ,TEAM           ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983,Akron                                             ,Mid-American Conference                                                    ,Miami (Ohio)                                      ,Mid-American Conference                                                    
2013,5041820130914,418,5,1,0,7,3,12,14,-35,-35,43,43,142,142,107,107,19,22,6,12,1,2,5,15,4,4,ATEAM     ,A,0,9/14/2013,66,Michigan Stadium                                                           ,TEAM           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927,Michigan                                          ,Big Ten Conference                                                         ,Akron                                             ,Mid-American Conference                                                    
2009,5050320091031,5,503,0,1,0,6,10,28,32,32,127,127,48,48,23,23,11,8,6,5,2,1,20,5,-6,6,BTEAM     ,B,1,10/31/2009,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965,Akron                                             ,Mid-American Conference                                                    ,Northern Illinois                                 ,Mid-American Conference                                                    
2013,5050320131012,5,503,0,1,14,17,16,20,14,14,105,105,155,155,131,131,21,28,10,16,1,2,5,20,-3,3,BTEAM     ,B,1,10/12/2013,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965,Akron                                             ,Mid-American Conference                                                    ,Northern Illinois                                 ,Mid-American Conference                                                    
2008,5051920081122,519,5,1,0,28,21,15,22,82,82,61,61,74,74,154,154,11,17,3,7,1,0,10,0,7,7,ATEAM     ,A,0,11/22/2008,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929,Ohio                                              ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2012,5051920121013,5,519,0,1,7,20,17,23,72,72,93,93,41,41,132,132,21,20,6,10,0,2,0,10,-13,13,BTEAM     ,B,1,10/13/2012,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929,Akron                                             ,Mid-American Conference                                                    ,Ohio                                              ,Mid-American Conference                                                    
2008,5068820080906,688,5,0,1,14,28,17,24,84,84,129,129,40,40,154,154,10,15,3,3,2,0,10,0,-14,14,BTEAM     ,A,0,9/6/2008,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980,Syracuse                                          ,Atlantic Coast Conference                                                  ,Akron                                             ,Mid-American Conference                                                    
2009,5068820091024,5,688,0,1,7,14,12,19,-33,-33,158,158,123,123,82,82,17,9,5,2,4,2,30,20,-7,7,BTEAM     ,B,1,10/24/2009,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980,Akron                                             ,Mid-American Conference                                                    ,Syracuse                                          ,Atlantic Coast Conference                                                  
2008,5069020081128,690,5,1,0,6,0,23,10,99,99,17,17,84,84,41,41,19,18,10,7,2,2,20,10,6,6,ATEAM     ,A,0,11/28/2008,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003,Temple                                            ,Big East Conference/American Athletic                                      ,Akron                                             ,Mid-American Conference                                                    
2010,5069020101030,5,690,0,1,0,6,14,18,15,15,100,100,80,80,142,142,12,12,4,5,0,1,0,5,-6,6,BTEAM     ,B,1,10/30/2010,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003,Akron                                             ,Mid-American Conference                                                    ,Temple                                            ,Big East Conference/American Athletic                                      
2012,5069420120922,5,694,0,1,23,23,12,27,93,93,121,121,143,143,303,303,22,29,10,11,4,4,25,20,0,0,TIED      ,B,1,9/22/2012,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921,Akron                                             ,Mid-American Conference                                                    ,Tennessee                                         ,Southeastern Conference                                                    
2012,5070920121120,709,5,1,0,21,17,11,14,52,52,44,44,167,167,189,189,23,24,5,7,4,3,25,35,4,4,ATEAM     ,A,0,11/20/2012,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937,Toledo                                            ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2008,5072520080920,725,5,0,1,0,9,24,16,47,47,78,78,29,29,157,157,6,13,3,5,4,1,20,15,-9,9,BTEAM     ,A,0,9/20/2008,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,0,1924,Army                                              ,Independent                                                                ,Akron                                             ,Mid-American Conference                                                    
2008,5079620080830,5,796,0,1,10,17,14,32,58,58,145,145,97,97,34,34,14,9,8,3,1,2,5,10,-7,7,BTEAM     ,B,1,8/30/2008,141,Camp Randall Stadium                                                       ,TEAM           ,Madison                                                                    ,WI,79500,FieldTurf                ,0,1917,Akron                                             ,Mid-American Conference                                                    ,Wisconsin                                         ,Big Ten Conference                                                         
2008,6049820080912,6,498,0,1,10,21,15,18,-51,-51,108,108,216,216,77,77,18,16,8,8,3,2,34,15,-11,11,BTEAM     ,B,1,9/12/2008,57,Malone Stadium                                                             ,TEAM           ,Monroe                                                                     ,LA,30427,ProPlay                  ,0,1978,Alabama A&M                                       ,Southwestern                                                               ,Louisiana-Monroe                                  ,Sun Belt Conference                                                        
2011,7020420110910,204,7,1,0,7,0,22,18,133,133,6,6,52,52,115,115,12,18,8,8,2,5,15,60,7,7,ATEAM     ,A,0,9/10/2011,71,Rynearson Stadium                                                          ,TEAM           ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969,Eastern Michigan                                  ,Mid-American Conference                                                    ,Alabama St.                                       ,Southwestern                                                               
2010,8003120100925,8,31,1,0,7,17,15,13,87,87,48,48,-3,-3,188,188,13,22,2,6,3,2,10,9,-10,10,BTEAM     ,B,1,9/25/2010,6,Donald W. Reynolds Razorback Stadium                                       ,TEAM           ,Fayetteville                                                               ,AR,72000,Sportexe PowerBlade      ,0,1938,Alabama                                           ,Southeastern Conference                                                    ,Arkansas                                          ,Southeastern Conference                                                    
2009,8003720091127,37,8,0,1,14,14,21,16,124,124,35,35,67,67,120,120,13,15,6,5,2,4,24,35,0,0,TIED      ,A,0,11/27/2009,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1,1939,Auburn                                            ,Southeastern Conference                                                    ,Alabama                                           ,Southeastern Conference                                                    
2008,8023520081206,235,8,1,0,17,10,18,17,85,85,33,33,104,104,92,92,13,11,6,6,0,1,0,5,7,7,ATEAM     ,A,0,12/6/2008,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,0,1992,Florida                                           ,Southeastern Conference                                                    ,Alabama                                           ,Southeastern Conference                                                    
2011,8023520111001,8,235,1,0,24,10,18,13,78,78,-17,-17,99,99,238,238,14,17,7,4,1,3,5,14,14,14,ATEAM     ,B,1,10/1/2011,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1,1930,Alabama                                           ,Southeastern Conference                                                    ,Florida                                           ,Southeastern Conference                                                    
2012,8025720121201,257,8,0,1,7,7,13,22,45,45,169,169,103,103,19,19,19,14,7,5,1,4,5,24,0,0,TIED      ,A,0,12/1/2012,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,0,1992,Georgia                                           ,Southeastern Conference                                                    ,Alabama                                           ,Southeastern Conference                                                    
2010,8036520101106,365,8,1,0,3,7,18,19,34,34,72,72,50,50,119,119,10,14,4,4,2,1,20,0,-4,4,BTEAM     ,A,0,11/6/2010,55,Tiger Stadium                                                              ,TEAM           ,Baton Rouge                                                                ,LA,92400,Grass                    ,1,1924,LSU                                               ,Southeastern Conference                                                    ,Alabama                                           ,Southeastern Conference                                                    
2011,8036520120109,8,365,1,0,6,0,16,10,69,69,17,17,156,156,26,26,25,7,7,2,3,0,15,0,6,6,ATEAM     ,B,1,1/9/2012,58,Louisiana Superdome                                                        ,NEUTRAL        ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975,Alabama                                           ,Southeastern Conference                                                    ,LSU                                               ,Southeastern Conference                                                    
2012,8036520121103,8,365,1,0,14,3,15,22,111,111,88,88,93,93,55,55,15,19,6,8,2,1,26,15,11,11,ATEAM     ,B,1,11/3/2012,55,Tiger Stadium                                                              ,TEAM           ,Baton Rouge                                                                ,LA,92400,Grass                    ,1,1924,Alabama                                           ,Southeastern Conference                                                    ,LSU                                               ,Southeastern Conference                                                    
2009,8043020091114,8,430,1,0,14,0,21,17,127,127,3,3,68,68,-8,-8,12,7,2,2,1,2,5,20,14,14,ATEAM     ,B,1,11/14/2009,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914,Alabama                                           ,Southeastern Conference                                                    ,Mississippi State                                 ,Southeastern Conference                                                    
2011,8043020111112,430,8,0,1,0,7,17,16,45,45,45,45,62,62,142,142,15,15,7,7,2,4,10,27,-7,7,BTEAM     ,A,0,11/12/2011,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914,Mississippi State                                 ,Southeastern Conference                                                    ,Alabama                                           ,Southeastern Conference                                                    
2013,8043020131116,430,8,0,1,0,10,9,16,37,37,99,99,77,77,75,75,15,19,6,9,1,1,2,5,-10,10,BTEAM     ,A,0,11/16/2013,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914,Mississippi State                                 ,Southeastern Conference                                                    ,Alabama                                           ,Southeastern Conference                                                    
