year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2011,149026000000000,Georgia                                           ,Southeastern Conference                                                    ,257,1,35,149,Coastal Carolina                                  ,Big South                                                                  ,0,0,ATEAM     ,22,8,101,101,21,21,179,179,9,9,24,15,6,4,3,0,19,0,35,35,9/17/2011,36,Sanford Stadium                                                            ,TEAM           ,Athens                                                                     ,GA,92746,Grass                    ,1929
2013,149065000000000,South Carolina                                    ,Southeastern Conference                                                    ,648,1,42,149,Coastal Carolina                                  ,Big South                                                                  ,0,7,ATEAM     ,21,14,124,124,112,112,203,203,97,97,18,26,6,10,2,1,15,10,35,35,11/23/2013,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1934
2008,157070000000000,Texas A&M                                         ,Southeastern Conference                                                    ,697,1,3,157,Colorado                                          ,Pac-12/Pac-10 Conference                                                   ,0,10,BTEAM     ,16,22,13,13,140,140,62,62,30,30,14,18,8,8,4,2,31,9,-7,7,11/1/2008,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1929
2011,164074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,1,14,164,Connecticut                                       ,Big East Conference/American Athletic                                      ,0,3,ATEAM     ,15,17,55,55,77,77,101,101,87,87,15,19,9,8,0,6,0,40,11,11,9/10/2011,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2008,193074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,0,0,193,Duke                                              ,Atlantic Coast Conference                                                  ,1,7,BTEAM     ,19,16,68,68,-5,-5,63,63,119,119,6,24,4,10,2,1,15,15,-7,7,10/25/2008,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2010,204074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,1,31,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,3,ATEAM     ,19,18,20,20,104,104,221,221,41,41,19,15,6,8,1,5,5,29,28,28,10/9/2010,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2012,229026000000000,Georgia                                           ,Southeastern Conference                                                    ,257,1,28,229,Florida Atlantic                                  ,Conference USA                                                             ,0,14,ATEAM     ,19,21,165,165,82,82,176,176,123,123,10,23,2,8,2,2,15,14,14,14,9/15/2012,36,Sanford Stadium                                                            ,TEAM           ,Athens                                                                     ,GA,92746,Grass                    ,1929
2009,231024000000000,Florida                                           ,Southeastern Conference                                                    ,235,1,35,231,Florida International                             ,Conference USA                                                             ,0,3,ATEAM     ,18,14,147,147,45,45,174,174,121,121,19,16,6,11,1,3,9,25,32,32,11/21/2009,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1930
2010,231070000000000,Texas A&M                                         ,Southeastern Conference                                                    ,697,1,6,231,Florida International                             ,Conference USA                                                             ,0,6,TIED      ,22,20,98,98,16,16,44,44,77,77,15,13,8,7,3,3,15,20,0,0,9/18/2010,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1929
2009,235001000000000,Florida                                           ,Southeastern Conference                                                    ,235,0,13,8,Alabama                                           ,Southeastern Conference                                                    ,1,19,BTEAM     ,9,20,65,65,78,78,121,121,184,184,17,13,8,4,1,2,5,21,-6,6,12/5/2009,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,1992
