year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2012,235070000000000,Florida                                           ,Southeastern Conference                                                    ,235,1,10,697,Texas A&M                                         ,Southeastern Conference                                                    ,0,17,BTEAM     ,19,25,13,13,90,90,100,100,158,158,7,20,0,5,4,2,17,21,-7,7,9/8/2012,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1929
2008,235074000000000,Florida                                           ,Southeastern Conference                                                    ,235,1,35,736,Vanderbilt                                        ,Southeastern Conference                                                    ,0,0,ATEAM     ,23,17,82,82,26,26,158,158,89,89,15,8,4,2,2,1,10,5,35,35,11/8/2008,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2010,235074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,0,0,235,Florida                                           ,Southeastern Conference                                                    ,1,41,BTEAM     ,25,23,147,147,-7,-7,-45,-45,176,176,13,18,7,7,2,1,10,5,-41,41,11/6/2010,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2012,235074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,0,7,235,Florida                                           ,Southeastern Conference                                                    ,1,11,BTEAM     ,14,20,29,29,141,141,63,63,77,77,10,17,5,8,5,2,35,18,-4,4,10/13/2012,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2013,244037000000000,LSU                                               ,Southeastern Conference                                                    ,365,1,20,244,Furman                                            ,Southern                                                                   ,0,13,ATEAM     ,12,22,108,108,55,55,192,192,94,94,12,22,4,8,2,2,9,20,7,7,10/26/2013,55,Tiger Stadium                                                              ,TEAM           ,Baton Rouge                                                                ,LA,92400,Grass                    ,1924
2008,253026000000000,Georgia                                           ,Southeastern Conference                                                    ,257,1,24,253,Georgia Southern                                  ,Southern                                                                   ,0,0,ATEAM     ,14,19,85,85,50,50,219,219,-34,-34,16,16,5,8,3,7,15,35,24,24,8/30/2008,36,Sanford Stadium                                                            ,TEAM           ,Athens                                                                     ,GA,92746,Grass                    ,1929
2009,255074000000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,0,28,255,Georgia Tech                                      ,Atlantic Coast Conference                                                  ,1,28,TIED      ,15,35,199,199,203,203,106,106,91,91,10,11,3,7,1,2,0,11,0,0,9/13/2008,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2009,257003000000000,Georgia                                           ,Southeastern Conference                                                    ,257,1,24,31,Arkansas                                          ,Southeastern Conference                                                    ,0,21,ATEAM     ,20,10,150,150,33,33,206,206,199,199,15,16,4,6,6,6,73,43,3,3,9/19/2009,6,Donald W. Reynolds Razorback Stadium                                       ,TEAM           ,Fayetteville                                                               ,AR,72000,Sportexe PowerBlade      ,1938
2008,257004000000000,Auburn                                            ,Southeastern Conference                                                    ,37,0,6,257,Georgia                                           ,Southeastern Conference                                                    ,1,7,BTEAM     ,19,15,53,53,95,95,80,80,106,106,10,11,4,5,4,3,40,10,-1,1,11/15/2008,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1939
2010,257004000000000,Georgia                                           ,Southeastern Conference                                                    ,257,0,21,37,Auburn                                            ,Southeastern Conference                                                    ,1,21,TIED      ,11,25,60,60,113,113,128,128,185,185,12,12,5,2,2,5,28,46,0,0,11/13/2010,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1939
2012,257004000000000,Georgia                                           ,Southeastern Conference                                                    ,257,1,28,37,Auburn                                            ,Southeastern Conference                                                    ,0,0,ATEAM     ,15,14,134,134,6,6,177,177,113,113,20,10,4,2,3,2,30,10,28,28,11/10/2012,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1939
2013,257004000000000,Georgia                                           ,Southeastern Conference                                                    ,257,0,7,37,Auburn                                            ,Southeastern Conference                                                    ,1,27,BTEAM     ,10,38,33,33,237,237,141,141,71,71,17,12,5,4,0,6,0,50,-20,20,11/16/2013,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1939
2010,257013000000000,Georgia                                           ,Southeastern Conference                                                    ,257,0,3,128,UCF                                               ,Big East Conference/American Athletic                                      ,1,3,TIED      ,13,16,40,40,65,65,133,133,-22,-22,18,17,4,7,0,2,0,10,0,0,12/31/2010,115,Liberty Bowl                                                               ,NEUTRAL        ,Memphis                                                                    ,TN,62380,FieldTurf                ,1965
2013,257015000000000,Georgia                                           ,Southeastern Conference                                                    ,257,0,21,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,21,TIED      ,21,23,197,197,84,84,93,93,137,137,17,13,6,7,2,5,13,44,0,0,8/31/2013,112,Memorial Stadium                                                           ,TEAM           ,Clemson                                                                    ,SC,86400,Grass                    ,1942
